,date,station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd_mode
0,2013-03-01,Changping,5.0833,18.9583,16.0417,15.3333,387.5,77.7917,0.8125,1023.8583,-19.5833,0.0,2.1333,N
1,2013-03-01,Dongsi,6.4167,9.875,8.2917,28.2292,389.5833,72.75,1.325,1028.7833,-21.4667,0.0,3.3083,NNW
2,2013-03-01,Huairou,7.5417,12.375,15.4167,10.6875,333.3333,78.6458,0.0167,1023.7833,-21.9417,0.0,2.9333,NE
3,2013-03-02,Changping,33.3333,39.8333,40.9375,60.3125,954.1667,29.0833,-0.3958,1023.7292,-16.1167,0.0,0.9292,NNE
4,2013-03-02,Dongsi,30.5,40.5833,28.2917,58.5,966.5833,37.7917,0.4917,1028.85,-16.9625,0.0,0.7917,N
5,2013-03-02,Huairou,32.7083,41.375,40.0112,49.8535,749.9583,35.005,-0.9917,1023.6875,-16.2417,0.0,1.575,W
6,2013-03-03,Changping,57.5417,82.6667,37.875,58.7917,1254.0,31.3333,5.3292,1011.3125,-12.9958,0.0,1.3625,NE
7,2013-03-03,Dongsi,98.3333,131.5833,58.2917,93.4583,2132.875,20.3333,4.9875,1016.4583,-12.3125,0.0,1.225,N
8,2013-03-03,Huairou,57.625,80.75,38.2917,47.625,945.8333,27.8333,3.9125,1011.3875,-12.475,0.0,1.7708,WNW
9,2013-03-04,Changping,20.7917,36.1667,22.375,30.25,583.3333,66.4583,9.2375,1014.4042,-13.4667,0.0,2.3833,NW
10,2013-03-04,Dongsi,24.2917,40.875,16.5118,47.6716,860.4167,62.2917,10.5625,1019.4542,-14.0,0.0,2.5042,N
11,2013-03-04,Huairou,20.0978,45.875,25.7083,35.125,524.9583,55.9167,7.1083,1014.4875,-13.1,0.0,1.8875,E
12,2013-03-05,Changping,106.9583,125.1667,50.7083,75.2917,1641.3333,88.75,6.4625,1007.7958,-9.0,0.0,0.7667,NNE
13,2013-03-05,Dongsi,154.25,183.1667,81.3958,137.7917,2399.7708,83.0417,7.2125,1012.7042,-7.7833,0.0,0.9125,E
14,2013-03-05,Huairou,39.7355,121.3333,50.4375,66.7917,1316.5417,87.9583,5.6833,1007.9208,-8.6458,0.0,1.325,WNW
15,2013-03-06,Changping,235.2917,257.4583,97.3542,120.3125,3139.1875,68.2083,7.3458,1004.3458,-4.7667,0.0,1.0417,N
16,2013-03-06,Dongsi,206.8333,231.9167,102.4167,161.5,2991.3333,28.0,8.0,1009.2958,-5.3792,0.0,0.775,NE
17,2013-03-06,Huairou,167.625,195.375,65.7917,86.5833,2095.625,80.375,5.4667,1004.475,-5.5958,0.0,1.2375,WNW
18,2013-03-07,Changping,200.6667,223.9583,81.9583,129.25,3257.9167,41.0,9.2375,999.2292,-3.8958,0.0,1.0083,ENE
19,2013-03-07,Dongsi,274.4167,306.625,92.9583,174.0,4249.6667,53.5417,9.2583,1004.1083,-2.5458,0.0,1.1708,E
20,2013-03-07,Huairou,206.4167,267.4167,64.0,121.6667,2466.375,63.5833,7.6292,999.4,-3.9917,0.0,1.3333,WNW
21,2013-03-08,Changping,182.375,239.7083,58.4752,90.5011,2537.1875,82.2083,12.0375,996.1542,-2.8708,0.0,2.1042,ESE
22,2013-03-08,Dongsi,189.3333,232.4583,61.4629,151.7642,3253.875,104.5417,9.6625,1001.3292,-2.5,0.0,1.6792,ESE
23,2013-03-08,Huairou,194.875,232.25,58.5578,88.8105,2274.5833,85.7917,8.8167,996.5167,-2.7542,0.0,2.3167,W
24,2013-03-09,Changping,58.25,200.2083,28.25,32.375,937.4167,102.25,7.1125,1001.6667,-11.3792,0.0,3.2917,NNE
25,2013-03-09,Dongsi,58.9167,217.2708,32.8542,58.6458,1301.8125,97.0833,7.2333,1006.1292,-12.1,0.0,4.0,N
26,2013-03-09,Huairou,52.125,142.75,29.3542,33.25,812.5,102.5,6.1958,1001.3,-11.9,0.0,3.9708,N
27,2013-03-10,Changping,30.25,50.125,20.75,34.2917,600.0,97.2917,7.2917,1017.0167,-16.7167,0.0,2.3458,NW
28,2013-03-10,Dongsi,36.3333,66.4583,19.25,53.2083,924.9583,95.125,5.7875,1022.5042,-15.1083,0.0,2.3333,SSW
29,2013-03-10,Huairou,43.625,68.9167,32.25,46.5833,762.5,90.5417,3.7333,1017.325,-14.1417,0.0,1.7417,SSW
30,2013-03-11,Changping,123.9583,163.7917,79.125,84.8333,1716.4167,88.5833,5.3625,1010.5083,-8.4208,0.0,1.2583,ESE
31,2013-03-11,Dongsi,111.625,149.7917,75.125,83.125,1295.5625,86.6667,7.1833,1015.5833,-7.65,0.0,1.5208,S
32,2013-03-11,Huairou,119.5417,141.875,73.0,72.375,1295.6667,70.9583,4.8792,1010.8125,-8.5542,0.0,1.3958,NW
33,2013-03-12,Changping,137.8333,143.5417,42.4583,80.9167,1816.375,35.875,5.1875,1005.9083,-0.6583,0.0875,1.2083,NNE
34,2013-03-12,Dongsi,126.75,125.8333,28.4167,88.875,1408.0833,45.75,5.1042,1010.7958,1.1208,0.2208,1.1792,ENE
35,2013-03-12,Huairou,106.5417,104.6667,29.8333,81.75,1208.1667,41.875,4.9375,1005.8583,-0.7083,0.0583,1.6292,WNW
36,2013-03-13,Changping,13.25,17.6667,12.9167,25.0,437.5,85.0833,4.7417,1019.3958,-13.3208,0.0,2.1292,ESE
37,2013-03-13,Dongsi,18.4583,23.875,12.1667,36.0,483.3333,79.5,4.3625,1024.7458,-11.8208,0.0,2.0167,ENE
38,2013-03-13,Huairou,10.5833,16.4583,15.0833,19.25,312.5,85.4583,2.4458,1019.5625,-13.3417,0.0,2.7458,WNW
39,2013-03-14,Changping,109.0,120.8333,47.2083,74.625,1491.4167,81.125,3.4875,1018.3125,-4.6917,0.0,1.5,ESE
40,2013-03-14,Dongsi,97.5,105.3333,52.3333,71.75,1437.2917,78.875,3.9625,1023.4708,-4.9917,0.0,1.8583,E
41,2013-03-14,Huairou,108.0,120.7917,32.4583,78.2083,1470.5833,79.25,1.9958,1018.5667,-4.9542,0.0,1.5625,WNW
42,2013-03-15,Changping,183.2917,198.0833,65.9583,86.6667,1866.4167,58.2917,5.6667,1011.3583,-2.4458,0.0,0.9375,N
43,2013-03-15,Dongsi,219.9583,229.5,78.2917,115.5,2299.4167,60.7083,5.8667,1016.3875,-1.3208,0.0,0.9375,NE
44,2013-03-15,Huairou,220.8333,223.9583,49.5833,102.0417,2003.8958,45.375,4.2042,1011.425,-2.3,0.0,1.1583,WNW
45,2013-03-16,Changping,229.1667,241.4167,62.375,92.125,2437.25,92.1667,8.8708,1013.5417,-0.3625,0.0,1.4875,ESE
